aid,view,danmaku,reply,favorite,coin,share
1613,1005,10,7,1,3,6
1619,5766,360,55,155,8,6
1618,4444,120,19,26,3,6
1616,--,68,17,6,1,4
1621,--,120,29,36,19,7
1623,1033,3,8,26,4,3
1624,5356,67,16,10,48,5
1627,--,46,19,53,1,5
1628,742,1,5,5,1,1
1629,4288,104,24,45,2,3
1631,2635,99,4,5,4,2
1632,32464,2,14,65,24,8
1630,1523,114,11,4,7,4
1634,818,4,10,5,2,1
1639,126948,2879,299,425,60,20
1641,155680,6956,94,143,109,21
1644,4080,12,71,64,7,6
1646,1652,1,18,21,1,5
1649,7326,2,5,11,11,4
1648,4753,6,22,81,11,3
1651,--,91,22,13,8,1
1650,7689,10,6,9,88,6
1652,4771,61,14,55,8,12
1653,2723,2,27,3,5,7
1654,--,3,21,31,1,4
1656,6379,2,14,16,81,5
1657,1673,0,13,16,4,2
1660,15609,6,20,64,67,4
1658,6377,303,25,63,6,1
1665,783,0,7,4,9,6
1669,1782,0,12,11,1,5
1670,24619,103,167,1695,97,74
1674,2902,8,47,25,3,3
1675,--,180,23,250,15,10
1677,855,0,6,2,1,3
1676,1980,3,42,9,3,5
1679,9058,14,26,22,19,5
1683,2251,4,9,14,11,3
1680,1012,4,6,1,1,2
1682,4443,49,9,28,24,6
1684,2494,58,18,86,18,11
1686,8018,150,11,174,9,20
1687,819,10,9,5,1,7
1689,7672,35,13,29,373,10
1690,876,60,10,9,1,4
1692,628,5,4,7,2,3
1693,1168,22,12,10,2,6
1694,665,7,4,3,1,4
1695,11673,1328,96,178,6,3
1696,1468,72,15,45,4,3
1688,1364,19,22,19,4,6
1699,153529,2424,153,1323,734,83
1702,33341,850,84,629,50,36
1703,1248,72,15,39,7,6
1704,1286,10,10,8,59,5
1705,3328,371,30,83,3,6
1706,1099,13,11,6,10,5
1707,94570,1190,85,836,79,32
1709,23364,138,41,82,6,10
1711,1209,50,8,7,1,5
1710,9185,180,45,39,12,11
1712,1126,43,6,21,4,4
1716,667,17,6,8,2,7
1717,--,31,24,25,2,4
1719,25802,1070,42,126,5,8
1722,10377,215,77,143,7,12
1726,3107,265,28,3,1,8
1730,909,16,16,4,1,7
1732,2627,38,26,20,23,1
1731,1037,58,8,6,2,2
1735,--,21,7,17,4,3
1737,1896,29,10,20,3,6
1740,12169,165,27,135,13,3
1739,3641,149,29,33,4,2
1742,949,75,15,2,1,3
1747,1269,25,26,18,3,7
1745,7567,350,47,65,10,26
1744,1372,41,23,13,2,9
1748,2132,25,34,17,1,8
1750,21275,1144,51,361,12,11
1749,--,13,30,20,2,5
1752,5237,0,21,7,8,6
1753,3309,86,23,14,8,4
1756,--,2421,681,1672,236,149
1758,2380,110,40,22,8,10
1759,793,24,5,2,7,3
1763,1269,24,13,4,5,1
1764,2490,193,7,6,1,4
1766,7628,51,93,415,25,16
1769,60051,924,597,798,252,72
1772,49480,1120,143,663,63,45
1771,6893,240,67,58,17,6
1774,2759,99,12,1,0,5
1777,1402,7,11,11,3,6
1778,1033,0,13,4,1,1
1779,994,45,11,4,1,4
1780,1438,69,8,2,1,2
1781,909,39,14,8,1,5
1782,3786,1047,20,28,2,16
1783,1845,25,13,16,3,6
1784,2398,51,15,27,5,15
1785,7584,239,49,203,13,8
1788,5075,105,25,22,4,9
1786,11941,335,27,219,10,9
1789,8362,26,45,27,6,5
1791,1862,31,7,1,1,8
1792,8153,70,28,56,4,2
1795,--,311,65,322,25,21
1794,3620,53,9,26,7,8
1797,937,15,7,7,2,6
1798,145959,12769,253,3291,97,37
1800,3984,31,27,15,1,5
1799,109452,2007,860,2501,612,142
1801,4564,106,40,16,2,5
1804,2379,141,15,5,1,2
1802,825,75,14,11,3,3
1806,1561,17,15,13,1,5
1809,1342,32,22,5,1,3
1810,8312,227,36,78,13,27
1811,2653,150,36,12,1,9
1815,2561,166,31,3,1,5
1819,1151,16,7,3,2,3
1820,4180,490,26,5,1,6
1825,1426,20,11,5,1,5
1827,5366,20,38,105,13,10
1829,7016,232,47,176,19,7
1830,5394,312,23,79,3,2
1832,2915,80,26,25,2,2
1833,1290,36,8,18,3,3
1834,371798,3396,724,3485,384,1100
1836,904,1,21,4,3,7
1838,7288,374,33,15,2,12
1839,1619,19,21,9,3,9
1841,1532,40,12,15,3,7
1840,1693,32,37,20,1,2
1842,3475,133,29,35,1,4
1843,5345,133,41,52,3,3
1844,5351,91,29,201,8,6
1846,5705,117,18,90,4,3
1849,6919,395,74,71,18,10
1850,3043,30,17,18,5,7
1852,1851,66,18,7,2,6
1851,--,451,192,352,65,135
1853,1920,95,19,10,4,4
1855,34572,458,114,1764,104,95
1856,1571,5,9,16,6,6
1860,4184,92,39,24,3,8
1857,5531,195,29,31,8,4
1862,1761,10,15,17,3,5
1864,59661,783,165,1450,149,1217
1863,1403,4,6,4,3,4
1865,1352,27,10,25,2,6
1868,3376,132,36,112,8,11
1866,1459,25,15,4,1,4
1869,2389,17,8,8,18,5
1871,757,42,18,4,2,0
1872,2505,54,13,55,4,5
1877,912,9,9,11,2,2
1878,7551,394,41,17,8,5
1879,125437,4269,1979,4636,375,198
1880,1402,44,10,3,1,4
1884,10493,385,44,197,29,9
1883,1105,1,18,7,1,4
1885,1159,13,8,5,2,5
1887,4357,111,52,21,7,3
1892,3474,91,3,13,1,3
1890,102637,7154,98,3156,72,39
1893,1916,56,36,13,1,4
1894,1883,2,23,4,1,8
1895,3484,161,35,18,1,2
1896,647,6,6,9,2,6
1897,1758,6,14,4,1,5
1903,798,16,8,12,2,1
1899,2607,51,26,12,1,4
1898,--,409,88,126,4,3
1902,4863,28,15,7,7,7
1901,2643,323,45,160,24,6
1906,2796,2,14,13,3,0
1905,2688,31,34,10,3,7
1912,2282,7,99,24,3,5
1913,1295,34,7,10,2,7
1914,1258,6,23,12,3,5
1915,1527,71,16,3,2,4
1917,3138,118,48,32,7,6
1918,1920,8,45,14,1,8
1919,24687,389,387,380,23,18
1920,1904,47,38,6,1,1
1921,2923,107,47,33,2,7
1926,18113,151,745,438,39,43
1928,7905,127,36,160,11,5
1929,2864,90,42,61,6,5
1935,9072,586,89,175,11,12
1931,11848,109,48,18,1,5
1934,910,7,12,10,3,3
1933,141738,1996,94,104,92,7
1936,6150,175,37,59,1,3
1938,2481,48,30,33,3,3
1940,5101,31,24,6,1,4
1942,21560,124,58,48,5,8
1944,16894,135,105,113,13,29
1946,--,459,27,23,3,3
1945,31596,759,148,288,11,12
1949,7832,102,273,127,9,12
1950,1740,52,44,54,13,7
1951,1165,6,15,6,1,4
1952,1342,29,16,4,1,4
1953,3967,151,104,46,2,9
1957,7031,99,26,163,10,11
1958,2799,51,38,32,5,4
1959,14482,949,31,78,2,2
1960,1265,28,14,23,2,6
1961,354506,5242,1611,9708,1323,477
1963,1340,5,10,11,2,3
1966,2491,13,82,21,1,2
1967,21791,422,37,55,6,27
1964,1971,69,32,8,3,7
1971,4145,84,37,9,2,6
1970,32241,662,47,427,52,150
1973,1953,9,31,3,2,4
1974,1667,32,19,18,4,7
1975,9221,327,90,99,14,9
1976,4092,25,70,19,2,4
1977,3485,36,23,31,5,7
1980,3587,103,40,18,1,1
1979,3846,144,53,11,1,8
1978,8730,164,73,87,2,9
1982,2012,10,28,5,1,2
1981,8669,118,25,144,8,21
1983,4170,72,48,12,6,5
1984,26496,105,201,246,11,4
1985,5575,25,20,20,1,6
1988,73523,497,247,813,117,151
1990,5508,80,94,22,5,1
1991,4075,83,121,34,2,5
1992,6887,60,37,25,2,10
1995,6666,50,46,31,5,3
1997,21813,261,120,41,9,6
1998,9165,70,188,85,8,3
1996,6276,65,110,58,5,1
1999,20504,105,245,59,7,9
2001,11117,109,161,117,13,7
2000,12637,23,238,88,11,10
2002,10200,104,272,130,10,2
2006,4157,33,167,23,2,3
1993,2606,48,61,21,2,5
2007,14304,433,130,366,38,10
2005,4150,24,181,31,9,7
2008,10272,69,167,35,4,5
2009,178840,223,176,94,6,7
2010,11494,213,97,31,3,7
2012,109495,111,256,162,28,14
2011,10557,33,48,35,4,4
2013,77500,755,250,1163,55,30
2018,29555,211,2727,140,21,16
2020,10833,200,636,273,11,5
2019,6112,68,639,24,5,2
2022,3291,30,214,26,3,7
2024,797,19,110,1,1,5
2026,1207,22,64,3,2,5
2031,1583,21,19,10,1,2
2029,5303,286,77,37,4,4
2030,1750,8,125,21,3,8
2033,37541,736,81,153,24,49
2035,5943,147,92,29,3,5
2038,26419,1181,113,134,26,5
2039,992,13,27,3,1,1
2040,8403,299,97,141,16,203
2041,5500,25,16,11,33,3
2044,870,8,11,10,1,5
2043,2541,15,19,8,3,5
2042,1129,30,12,5,2,2
2046,70466,129,43,418,29,25
2049,6214,55,83,51,4,10
2048,10586,94,87,51,5,4
2052,2878,6,27,9,2,2
2051,3924,121,45,38,17,6
2054,3286,68,21,20,3,2
2056,2241,19,21,2,2,5
2055,2312,179,28,17,8,3
2061,2256,6,18,14,17,5
2065,21910,658,35,78,1,4
2068,82,29,17,12,2,1
2069,4261,203,80,34,8,6
2071,1484,78,21,2,1,2
2072,2068,75,18,6,1,6
2073,1161,55,10,4,3,2
2075,61048,725,29,90,10,4
2076,654,28,9,4,1,3
2079,9649,304,103,219,8,7
2082,5336,102,17,21,4,4
2080,2021,56,60,10,3,4
2085,6601,715,89,45,5,10
2089,997,172,21,6,2,6
2090,1203,34,20,0,1,4
2091,5032,440,57,53,11,12
2093,1918,102,17,8,2,4
2092,4912,158,33,22,2,5
2094,16986,1569,81,109,2,6
2097,1330,41,27,0,1,5
2100,3128,50,130,11,3,3
2101,61494,7,223,454,47,15
2096,1379,37,20,15,4,5
2105,204,104,11,2,1,3
2107,1437,21,8,0,2,3
2108,1392,28,17,7,2,3
2109,2473,8,26,34,3,3
2110,25839,725,66,399,42,8
2111,4007,161,77,12,8,5
2112,3151,139,17,20,2,7
2114,14248,1194,42,119,9,14
2113,2841,50,28,39,3,4
2117,3478,345,25,12,1,3
2119,14069,1182,43,114,11,5
2120,1436,23,10,5,1,6
2123,1957,31,7,3,1,5
2124,4107,261,16,3,2,5
2127,4454,140,13,22,4,2
2128,2716,355,19,13,1,3
2129,1786,765,15,5,1,3
2132,172,0,8,4,1,6
2135,845,6,6,1,1,6
2125,2570,62,14,18,1,2
2126,3184,671,23,7,2,4
2136,1795,0,14,13,1,1
2137,3653,3,21,34,4,4
2139,885,0,13,7,3,6
2140,1796,2,14,20,2,7
2142,35457,450,586,802,26,29
2143,2010,57,18,19,2,5
2144,2464,199,26,8,6,2
2148,1745,25,7,15,9,13
2149,5285,832,48,27,2,2
2150,2719,135,16,15,2,4
2151,--,333,19,19,1,6
2152,2108,17,11,9,3,4
2154,827,6,4,0,1,6
2156,35,76,6,11,1,3
2157,1751,52,15,26,1,2
2158,782,47,8,12,2,0
2162,154803,2436,166,1055,43,27
2163,--,2437,181,238,10,11
2164,2039,103,16,3,1,5
2166,740,28,12,0,2,3
2168,1579,29,14,24,4,3
2078,2099,56,21,23,3,5
2169,25113,153,14,64,13,15
2171,1166,13,8,7,1,0
2172,1461,10,4,0,5,4
2175,1971,199,8,4,5,9
2173,2155,69,11,3,1,6
2176,523,8,5,1,4,3
2181,3372,162,26,55,5,6
2180,5103,380,19,4,1,2
2183,5658,436,27,14,3,5
2184,4664,133,16,114,5,6
2185,2518,127,24,24,2,11
2186,--,65,12,26,5,7
2187,2991,31,13,37,16,4
2188,--,2,11,21,4,4
2191,6864,207,24,118,7,6
2193,2469,23,10,3,5,5
2196,3451,223,20,5,1,0
2202,1261,79,24,2,1,5
2203,1432,22,16,5,2,14
2204,15953,227,69,286,13,21
2206,783,10,16,1,1,7
2205,1538,11,8,4,2,1
2209,936,80,16,17,3,7
2213,1163,61,11,1,1,3
2212,3020,4,21,4,1,1
2215,5993,160,37,343,27,20
2216,1770,280,21,7,1,5
2217,1094,9,5,4,1,0
2218,4567,345,23,17,1,1
2219,6070,327,30,42,3,6
2222,11067,232,147,161,11,6
2223,1039,473,40,99,38,7
2224,3834,133,18,26,5,2
2130,7605,66,17,98,11,5
2226,7770,558,45,51,16,12
2227,1573,83,8,3,1,5
2229,2287,40,7,9,5,5
2230,1843,32,46,10,5,10
2228,2372,86,17,122,14,12
2232,836,6,8,8,4,4
2234,3077,82,61,105,29,16
2231,16167,268,28,220,8,5
2233,63723,357,942,582,60,17
2235,712,6,4,9,3,4
2236,776,2,7,7,3,3
2237,1117,16,18,8,2,7
2238,973,25,5,0,5,2
2240,214,27,10,9,1,9
2243,2467,80,8,14,2,6
2241,613,1,4,7,1,6
2244,3253,119,28,2,2,6
2242,640,28,9,7,2,1
2245,1946,38,15,2,2,4
2246,14562,128,28,111,10,9
2248,--,25,13,15,1,5
2249,2679,52,20,22,3,6
2247,803,27,9,6,2,9
2251,--,472,14,4,1,7
2253,--,88,27,16,0,9
2255,6481,218,30,40,5,4
2257,3082,103,11,12,1,7
2258,4259,179,29,251,21,19
2259,192,34,14,23,1,3
2260,--,113,46,40,0,6
2261,28551,1,16,94,26,13
2263,45583,2723,372,723,125,77
2266,2081,184,16,9,4,6
2267,1052,59,5,5,2,3
2268,14107,302,22,18,2,6
2269,31365,662,81,318,30,9
2270,2827,28,6,8,7,1
2271,695,9,6,4,2,2
2272,1276,16,5,1,6,4
2273,153,18,5,3,3,5
2275,1256,83,9,3,3,3
2277,2675,68,23,116,20,12
2278,6831,83,27,106,11,6
2279,1786,9,5,7,2,3
2280,2590,77,16,16,5,5
2281,532,2,4,5,2,4
2283,--,295,94,59,9,5
2282,6890,26,24,8,4,5
2284,829,22,4,1,2,3
2285,8530,399,76,177,6,12
2274,1842,90,4,8,2,13
2287,1581,59,7,8,2,3
2288,24140,3497,34,93,18,5
2290,38841,3423,67,110,95,5
2292,683,7,7,5,3,3
2293,1372,31,12,14,2,5
2294,7910,186,17,69,7,6
2295,35877,316,65,354,17,9
2296,1232,48,5,7,2,5
2297,969,89,5,6,2,4
2300,15389,834,66,164,11,7
2302,7215,100,31,81,11,9
2301,3084,46,18,23,5,5
2303,53087,981,141,1534,65,9
2305,2564,33,10,13,4,4
2306,163,37,9,6,3,3
2307,1031,43,18,50,3,8
2308,1049,12,6,7,2,2
2309,583,4,6,6,2,3
2310,509,5,6,4,2,4
2312,5949,89,31,95,18,6
2314,966,5,3,4,2,3
2313,224843,17977,3695,9070,991,291
2315,1659,67,6,17,4,4
2317,5111,195,31,103,9,10
2318,16198,526,54,791,44,54
2319,15739,316,74,603,35,14
2320,44312,2386,105,27,12,4
2321,6050,159,13,57,9,10
2327,3479,73,14,51,10,12
2328,267,404,10,8,2,2
2329,9985,1079,29,33,1,5
2330,849,28,4,9,1,5
2331,--,263,56,52,0,3
2332,1542101,107108,3569,9828,3266,1688
2333,200025,3228,3007,2609,652,219
2334,1221,23,13,7,2,4
2335,878,101,6,23,4,5
2337,9866,15,8,6,40,7
2336,1087,12,15,42,8,5
2340,1172,5,3,148,2,3
2342,1474,41,5,3,3,4
2344,1363,300,17,2,2,7
2345,4153,861,255,958,63,25
2346,1403,135,11,10,1,7
2349,1825,72,7,8,4,5
2348,64423,1041,162,657,85,38
2350,8625,357,26,145,10,8
2351,1105,88,5,6,1,6
2359,--,13,7,4,0,4
2353,999,178,2,12,3,3
2363,5177,110,18,18,7,11
2368,1516,11,4,2,3,3
2373,2378,2216,55,600,17,8
2381,8483,574,13,11,3,10
2382,2634,74,9,5,2,0
2380,7025,43,14,38,9,20
2383,2943,62,9,76,8,7
2384,21371,207,92,773,39,18
2386,40017,313,210,2218,146,97
2388,3057,79,17,16,2,4
2389,1074,7,3,19,10,6
2393,6618,233,36,35,4,3
2395,4397,199,20,76,10,6
2396,1238,73,5,16,5,5
2397,370,15,12,24,6,6
2398,8193,297,32,63,2,0
2399,9166,130,16,17,4,4
2400,3665,72,25,68,3,4
2402,3384,97,12,12,2,4
2403,2020,63,19,28,3,3
2405,7515,48,16,22,1,10
2406,914,17,7,3,1,6
2408,1466,74,19,42,4,6
2409,1402,24,7,18,3,5
2410,3078,690,9,24,2,5
2411,1259,3,12,3,1,5
2412,76,105,17,3,2,5
2416,14883,183,53,86,6,6
2415,2308,15,17,19,6,4
2417,2480,115,9,5,2,4
2421,852,4,7,1,1,2
2423,1197,18,7,2,1,4
2419,1209,39,9,1,1,5
2418,3421,65,12,15,5,9
2426,2313,55,19,6,5,3
2425,8557,210,12,86,8,3
2422,1099,6,2,3,2,3
2429,27895,240,52,554,60,94
2431,401,195,27,21,4,7
2434,1431,35,3,3,1,3
2435,1837,58,10,25,5,6
2432,2964,94,30,25,3,3
2438,1489,12,6,7,2,7
2440,2367,20,6,12,4,4
2444,3661,148,24,41,5,7
2437,504,2,2,3,1,1
2449,1001,51,6,24,3,6
2450,12687,1043,108,29,4,5
2451,2470,134,20,11,2,4
2452,2551,369,6,15,6,7
2456,2419,223,14,52,4,2
2458,953,38,5,10,4,4
2462,576,1,5,1,1,4
2468,5572,1498,244,119,14,8
2469,3652,78,26,158,20,22
2466,4178,82,16,59,1,5
2470,7561,257,68,255,30,12
2457,1711,124,15,22,1,5
2471,925,12,9,0,1,3
2472,24663,529,141,545,35,13
2474,3491,89,14,7,3,4
2475,4664,136,27,23,2,7
2476,788,15,4,2,1,1
2477,6447,268,36,131,20,10
2480,1990,236,47,33,4,1
2481,1048,36,19,2,1,6
2483,160712,143,97,667,19,18
2487,1500,15,5,5,2,5
2488,697,6,3,4,1,2
2489,59925,2310,184,537,70,22
2479,130140,8131,1182,3722,269,75
2494,1932,51,20,4,2,3
2496,10361,597,48,60,9,9
2495,909,114,11,7,1,5
2497,1785,30,8,10,3,7
2499,9674,646,26,37,5,2
2501,8086,597,36,38,3,6
2502,2843,48,36,49,8,1
2507,2029,120,14,7,2,6
2510,693,164,19,48,3,5
2513,871,104,7,4,2,6
2515,808,64,12,1,3,6
2516,5544,159,56,153,36,8
2517,24462,5470,101,331,17,5
2518,1976,240,12,42,5,7
2520,8633,147,31,36,9,8
2522,1540,6,7,7,2,0
2524,30302,889,333,744,113,5
2525,29794,1183,120,1030,72,32
2523,615,312,16,20,3,3
2526,3648,237,47,208,23,17
2527,8701,343,28,64,3,4
2529,72052,3114,566,1532,184,85
2531,1213,86,19,7,2,2
2530,6246,97,18,32,5,7
2442,679,57,4,6,2,4
2446,4613,298,58,48,5,7
2536,2399,8,2,3,2,5
2538,49328,4561,234,2207,160,96
2539,5893,214,19,4,77,3
2541,2374,110,35,44,15,4
2542,2417,23,9,1,38,2
2545,1644,86,17,2,8,5
2544,2006,19,29,8,8,7
2543,43061,53,8,18,465,4
2546,22942,568,129,452,264,17
2548,--,11,10,3,0,6
2551,8861,28,28,45,1,4
2534,717,17,6,5,2,1
2552,6401,108,36,137,29,19
2554,1659,77,12,2,2,2
2553,2581,39,15,16,3,1
2556,23332,482,113,159,22,11
2557,328606,8940,4992,13524,980,1164
2560,1516,314,6,5,4,2
2563,--,107,38,22,1,3
2564,4500,85,26,53,13,3
2565,1671,152,10,2,2,5
2568,2661,105,15,17,2,4
2569,2529,66,9,7,10,0
2570,1235,41,7,34,2,6
2572,9813,60,8,84,636,3
2574,7796,97,123,8,3,6
2577,3579,110,22,4,3,7
2579,711,5,5,4,6,3
2581,7862,142,42,31,82,4
2588,--,19,8,16,77,6
2593,4086,0,26,12,9,3
2594,1228,43,11,5,2,4
2595,40754,882,45,129,165,19
2599,566,4,5,1,3,4
2600,4587,86,11,9,92,2
2601,68334,16,264,591,511,253
2602,3674,328,18,83,21,8
2606,3649,360,31,108,9,11
2605,9772,409,42,147,33,6
2604,3530,121,11,4,2,3
2607,762,26,4,11,3,3
2608,1510,137,11,16,4,3
2610,2286,69,12,1,26,1
2611,1938,243,18,2,3,4
2613,4151,314,11,16,4,2
2612,29122,2034,91,448,16,15
2617,114880,2452,43,100,90,18
2616,165474,11506,234,1131,59,49
2621,598,7,7,1,5,3
2623,--,241,29,12,4,9
2624,103602,1962,223,1822,208,35
2625,6611,26,16,51,187,3
2626,963,35,6,4,3,8
2627,16843,724,28,388,105,8
2629,5188,0,37,19,4,5
2630,7882,298,19,125,18,15
2634,5090,126,21,69,15,10
2632,45726,2425,186,565,129,6
2636,1191,34,9,11,3,4
2637,4917,36,17,60,10,18
2640,2833,102,13,4,2,5
2641,--,166,32,159,5,8
2642,5387,22,8,446,14,12
2644,61328,609,112,2051,185,64
2645,8535,817,23,31,19,4
2648,126793,30128,276,1689,106,22
2649,2555,120,32,98,37,8
2651,1209,140,10,17,2,5
2654,3087,14,5,6,19,2
2655,1320,39,8,9,5,3
2656,1387,6,6,3,3,5
2658,96192,545,92,1609,53,12
2659,2077,16,6,3,1,4
2661,14714,561,102,97,132,2
2660,17901,3,2,16,100,7
2666,7516,67,26,43,4,5
2669,35110,3193,207,981,36,9
2670,2809,280,21,16,3,4
2671,1229,5,7,15,8,3
2674,2280,36,13,3,5,2
2676,5216,23,20,74,28,5
2680,9028,274,17,43,68,3
2683,4348,214,29,84,15,7
2684,4057,43,17,15,7,2
2685,13744,619,130,245,13,11
2686,1071,27,5,9,2,3
2687,5420,31,10,45,38,2
2688,8543,51,18,44,125,5
2689,1547,9,6,2,3,7
2690,1212,35,11,32,9,3
2691,5356,272,11,7,3,2
2693,974,58,10,2,2,3
2694,4733,295,11,26,4,3
2696,3328,55,18,29,7,3
2695,1412,16,7,4,8,5
2697,--,210,29,9,3,5
2699,2193,23,15,24,5,5
2700,4717,226,33,18,3,4
2701,4226,40,12,46,15,29
2702,4052,101,24,118,3,7
2703,2633,71,6,12,6,5
2704,4556,415,18,6,4,2
2705,66566,3226,175,446,53,25
2707,68690,7366,136,194,37,9
2706,2251,22,10,12,2,6
2708,2014,30,6,5,16,2
2709,7050,355,20,39,5,9
2711,2126,13,18,26,17,5
2712,1273,3,3,4,9,2
2713,1267,52,10,5,2,1
2715,21732,265,52,119,9,12
2716,1643,117,8,3,2,5
2717,1852,8,9,23,13,6
2718,5412,107,33,57,53,5
2721,5339,120,23,52,29,7
2723,4020,88,27,19,2,4
2725,90388,74,10,138,1493,10
2729,194750,4483,227,1895,182,21
2727,3088,58,18,1,3,3
2728,41422,605,185,625,64,143
2719,12302,284,91,265,50,9
2731,7778,143,23,37,8,5
2722,20468,134,16,98,342,11
2720,8864,204,35,119,99,4
2733,2470,91,6,5,11,4
2740,19201,236,39,85,314,14
2741,14457,193,32,15,83,7
2742,41805,16,5,33,380,4
2743,21614,120,12,52,578,4
2744,5951,37,11,4,25,3
2745,7892,142,22,11,40,6
2747,18617,94,29,67,304,38
2748,44587,5615,102,808,67,19
2749,7305,363,28,84,6,17
2750,609,81,5,4,0,1
2751,886,93,16,0,2,1
2752,657,11,2,0,2,3
2753,3107,73,6,12,3,6
2757,3627,130,11,13,3,6
2756,1214,29,6,4,2,2
2760,19781,88,8,87,416,5
2761,35739,76,9,46,466,5
2762,10477,10,20,39,348,4
2765,2940,21,7,19,26,2
2767,61330,5571,107,1336,124,47
2770,1970,108,15,12,3,4
2771,5255,24,8,21,72,1
2774,6691,6,9,24,22,3
2775,549,12,7,7,1,3
2777,512,4,5,6,1,8
2779,12822,140,29,68,4,5
2778,642,5,2,3,1,1
2780,3362,192,4,5,2,4
2781,1679,82,10,16,18,5
2782,535,21,9,7,4,2
2783,6911,29,10,65,21,7
2784,976,12,5,11,2,2
2786,--,82,24,22,1,3
2787,1155,54,4,34,3,8
2794,3211,40,2,14,52,6
2788,9899,101,52,375,17,9
2791,3527,78,16,15,11,7
2792,2212,36,10,13,4,3
2795,7713,457,18,67,27,7
2797,2840,213,26,22,1,5
2798,914,31,9,2,0,3
2799,8052,360,61,264,27,10
2802,4260,225,56,108,15,7
2803,3509,185,19,18,1,7
2801,1772,26,11,5,1,6
2804,1763,19,15,12,8,1
2805,2133,22,24,25,3,4
2807,2068,154,22,29,3,5
2808,637,9,4,5,1,2
2810,56589,4203,371,1262,162,17
2813,31125,588,53,1345,43,33
2816,708,2,8,8,2,5
2819,1142,5,27,10,6,2
2817,1375,68,14,32,13,11
2820,2075,39,7,14,3,5
2823,799,4,3,1,1,6
2822,2031,31,11,5,1,8
2826,17434,516,15,19,33,6
2828,2905,27,22,32,4,3
2831,942,33,17,8,2,3
2829,2303,103,9,22,1,2
2833,4170,149,12,65,2,6
2835,1846,17,7,25,2,7
2836,1889,16,15,30,2,3
2834,4235,42,5,14,4,4
2832,978,117,9,7,3,4
2837,2376,455,15,49,2,3
2838,5803,291,34,144,8,9
2839,8326,320,63,206,11,5
2842,1446,48,3,10,1,6
2841,1106,22,5,3,2,9
2843,6682,106,33,92,79,14
2844,4786,194,18,51,112,2
2846,2312,126,38,21,8,3
2848,379334,7617,524,7528,281,42
2850,3367,122,46,51,10,10
2849,2941,98,27,41,5,3
2852,7196,890,88,45,4,1
2855,1163,19,6,2,1,0
2853,1445,19,7,15,1,6
2854,1915,42,18,5,1,1
2857,2668,96,11,15,1,4
2858,6132,99,42,144,14,8
2859,4419,53,10,19,2,8
2860,9680,2995,28,222,15,19
2861,8617,735,28,127,6,7
2862,1787,39,10,2,2,1
2864,7275,238,44,251,8,7
2867,1078,29,7,2,1,3
2869,3201,280,26,2,2,5
2870,4762,115,33,13,1,5
2871,782,59,11,3,2,4
2868,2740,132,5,7,4,8
2872,3734,17,11,18,2,5
2873,1979,125,3,4,1,10
2876,4239,189,12,35,8,5
2877,847,7,6,7,1,1
2878,5337,253,39,72,6,5
2879,--,2354,330,501,35,14
2880,3965,52,19,8,1,4
2882,3998,626,23,12,5,4
2881,--,600,203,687,118,64
2883,1147,9,7,5,1,1
2885,1285,123,10,1,2,2
2886,1447,10,4,10,1,6
2887,7975,652,24,52,4,6
2888,782,8,8,4,2,2
2889,761,6,6,7,1,4
2891,8036,58,8,49,5,4
2894,8732,14,3,35,105,6
2896,1124,6,8,6,1,6
2895,472,7,4,3,1,6
2897,614,8,6,8,1,6
2899,713,12,11,22,0,1
2900,668,3,7,3,10,2
2902,4637,444,31,43,8,5
2806,1390,12,8,15,1,5
2908,5065,316,46,60,2,0
2909,4867,116,11,41,5,11
2910,21870,213,54,175,48,1
2912,1954,9,14,8,1,2
2913,783,19,16,1,2,2
2919,66609,1554,47,789,41,17
2927,1991,53,10,7,28,2
2922,1000,4,3,1,4,4
2921,65112,1257,59,718,33,50
2923,2265,108,11,5,16,3
2924,1777,57,14,29,5,4
2925,3517,24,14,47,61,10
2928,978,50,4,2,2,4
2929,3673,237,37,51,1,4
2918,1663,27,15,16,3,6
2926,817,12,13,4,2,6
2933,2871,45,34,19,8,9
2936,1340,27,15,27,3,2
2937,5913,171,30,237,18,13
2938,4748,69,50,156,16,23
2935,1533,15,2,2,2,2
2939,884,7,1,5,1,3
2940,859,12,7,9,3,2
2941,1295,41,8,19,8,2
2942,7775,321,53,269,23,13
2945,5175,261,33,13,4,2
2944,442,66,5,2,2,12
2946,448,26,6,1,1,5
2947,924,71,8,5,1,5
2948,2864,13,6,33,2,1
2950,167853,5484,144,3114,237,105
2949,1232,10,12,4,1,1
2951,2603,28,9,19,2,6
2952,2407,20,6,37,4,4
2960,5224,135,35,30,150,7
2958,12722,88,96,282,26,10
2957,1883,25,17,6,1,2
2959,3515,87,8,4,33,3
2961,3435,67,9,10,3,5
2967,16163,464,86,260,298,3
2969,550,10,5,14,1,4
2964,1373,24,3,3,2,6
2965,--,101,25,35,3,3
2966,44463,997,250,1299,155,73
2963,14329,1001,14,28,9,2
2970,1267,15,37,18,1,9
2972,1866,88,21,27,1,4
2977,10950,334,181,38,12,9
2975,419,2,1,1,1,4
2978,16504,436,55,217,23,5
2976,738,8,4,7,2,5
2979,3985,54,10,5,2,4
2980,3638,31,5,28,1,7
2983,1292,24,6,11,3,5
2991,156737,4937,840,3446,201,71
2990,3981,164,27,21,4,3
2992,3869,210,24,20,2,6
