aid,view,danmaku,reply,favorite,coin,share
373,1948,13,28,57,7,8
376,22610,2595,94,190,14,8
378,1849,20,18,18,1,6
379,14537,1045,58,59,2,4
380,49217,1681,253,533,41,22
375,6053,83,31,64,4,1
371,12938,288,30,157,17,24
495,287722,2288,2019,11973,943,153
496,3692,46,43,37,3,7
497,10536,1129,143,172,9,12
499,3600,104,38,19,3,2
498,42077,360,98,492,35,10
502,5377,27,115,61,7,5
503,3228,168,45,32,5,6
505,10372,364,105,192,12,13
507,4922,162,40,55,10,9
506,5061,68,53,52,11,8
512,11073,96,152,163,10,11
509,1079,81,51,46,2,7
511,5731,110,66,20,4,8
508,--,6498,1695,6586,237,550
513,2497,18,55,53,3,4
516,10290,103,95,141,22,4
517,7472,1328,79,48,6,8
518,1902,11,55,31,4,3
521,34579,551,639,312,56,45
520,91357,1547,1520,949,104,57
519,1250,14,36,32,7,5
522,2388,14,32,10,4,5
523,3484,44,64,28,6,4
525,3147,28,60,31,4,3
526,9368,177,88,155,16,7
528,4841,21,63,55,12,10
530,6525,478,67,86,16,7
531,2598,27,43,59,4,5
532,2315,21,30,41,2,7
533,5724,199,38,17,4,3
534,2245,23,44,56,5,8
535,4955,95,91,205,36,13
536,8968,506,50,64,2,5
537,2634,78,38,27,3,12
539,516,171,35,24,2,5
540,25543,930,181,869,82,20
541,1776,21,19,14,2,5
544,3109,58,51,61,7,1
543,22049,88,236,96,31,6
549,6124,76,48,165,24,19
550,12577,186,184,670,92,20
551,3353,35,18,60,3,5
552,--,949,35,103,4,7
553,6375,2201,181,1007,137,39
554,12551,322,65,268,23,12
556,3049,28,40,48,4,11
557,5096,269,45,48,2,4
559,2760,67,83,32,4,10
561,8195,233,44,55,7,8
560,2941,40,38,37,6,5
563,2424,37,32,21,2,3
565,3902,61,48,51,5,15
567,5601,103,85,47,18,9
571,20588,895,56,534,40,18
572,108630,2379,158,765,66,82
575,8460,135,109,126,14,13
576,9369,82,37,105,10,10
577,1998,150,24,25,5,7
580,5790,75,48,177,22,7
578,12760,821,101,238,20,24
582,5870,547,51,48,16,4
583,27236,1715,193,723,131,49
566,2639,56,49,117,20,13
585,2269,147,25,17,4,6
586,105998,4490,121,2926,82,52
581,1034,68,52,17,3,9
593,1738,19,17,11,4,5
596,7186,639,29,36,5,3
595,2598,47,37,28,12,4
597,3716,306,30,19,2,1
598,3683,225,43,96,13,6
603,5301,164,76,103,11,8
605,33995,1322,60,295,23,22
606,3654,89,35,90,10,4
612,23201,625,82,749,59,20
610,6794,565,98,119,15,9
614,4690,309,49,52,7,6
617,3056,11,27,13,21,7
618,7965,64,127,54,9,9
620,5265,136,47,54,17,6
625,2619,23,51,18,4,9
624,12664,42,69,25,7,9
623,4089,29,55,45,19,2
632,3129,89,24,30,12,5
631,2850,40,16,9,19,5
633,6867,983,12,33,9,8
635,4432,587,36,27,4,2
637,228452,2435,1891,9149,862,305
640,1921,16,29,27,4,7
638,10051,369,82,278,16,11
641,1594,31,28,35,4,2
642,6895,290,28,118,7,9
644,--,258,40,23,6,1
645,1833,23,16,8,5,4
646,2392,96,27,28,4,2
648,1622,23,31,11,5,5
649,2160,34,14,20,6,11
650,7932,75,28,28,9,7
651,1971,53,16,35,9,3
653,1739,51,21,19,4,2
654,9763,163,37,136,22,21
655,5288,256,22,44,5,3
656,7463,69,18,59,15,8
657,2975,2,14,12,2,6
659,1327,9,27,13,5,4
660,33991,4403,134,709,41,9
662,101346,2212,751,5780,503,451
663,6239,180,27,43,18,7
664,8924,342,77,175,18,11
666,444579,19073,6186,7716,608,903
671,2628,126,21,12,4,2
669,2480,4,24,13,7,6
668,190338,597,172,1148,53,28
672,1655,30,22,37,9,4
670,2293,110,37,33,4,7
674,982,1,13,11,4,6
676,3087,160,15,22,5,3
675,7874,115,20,73,7,9
661,40999,600,260,1605,143,81
665,8124,315,54,96,11,6
680,4462,106,28,50,6,5
681,2370,19,17,10,4,5
667,8969,436,88,220,31,22
685,6080,150,13,17,174,3
686,12066,24,60,36,55,11
687,7868,38,16,27,174,4
688,11774,16,41,29,33,5
693,9104,691,54,61,7,5
694,1769,30,15,19,5,5
695,4296,98,24,65,5,9
696,3421,112,43,113,17,2
698,7525,19,16,24,23,5
699,3665,84,53,74,28,11
697,13802,450,81,81,27,18
700,3500,26,73,36,6,6
690,18454,2681,111,136,7,3
705,36502,406,1265,660,274,113
706,2556163,52749,58894,160028,32645,17159
707,2829,217,32,20,5,5
709,5265,13,42,33,12,4
715,2770,34,77,51,8,7
712,1725,14,50,24,4,10
704,4535,98,43,64,8,6
718,13159,130,66,83,26,7
719,2312,303,36,23,4,7
720,15952,474,112,132,4,9
721,3506,52,64,40,6,5
723,2919,39,34,33,11,8
725,6664,449,50,52,5,10
726,8063,61,41,75,8,8
728,3928,182,94,17,16,10
730,3722,54,26,10,2,3
729,8228,16,67,17,37,9
731,44506,2941,239,1415,73,33
734,3714,71,13,26,6,9
736,2339,57,24,36,9,7
738,17224,122,144,753,84,54
739,1212,2,10,5,3,7
740,3762,42,26,9,2,4
727,4350,44,23,12,17,4
742,5806,377,31,26,2,6
743,1421,0,9,5,2,5
744,2285,3,18,16,2,6
732,810,452,74,92,15,8
746,283,2,16,12,3,5
749,1979,47,15,9,6,3
